Location,Loc_code,Site,Site_code,Transect,Percent_Hard_coral,Percent_Reef_substrate,Percent_Soft_corals,Percent_Acropora,Percent_Poritdae,Percent_Montipora,Percent_Pocilloporidae,Percent_Favidae,Percent_Other_hard_corals,Percent_Other,Number_spp,Shannon_Weiner_H_prime,J_prime,C_aureofasciatus,C_baronessa,C_bennetti,C_lunulatus,C_melannotus,C_ornatissimus,C_plebius,C_rainfordi,C_reticulatus,C_trifascialis,C_unimaculatus,C_auriga,C_citrinellus,C_ephippium,C_flavirostris,C_kleinii,C_lineolatus,C_lunula,C_oxycephalus,C_pelewensis,C_quadrimaculatus,C_rafflesi,C_speculum,C_ulientensis,C_vagabundus,C_semion,Number_spp_present,Shannon ,Shannon_J_prime,Total_focal_spp,Total_other_spp,Total,Number_spp_OC_present,Number_spp_FC_present,Total_abundance,Total_OC_abundance,Total_FC_abundance,Coral_cov_by_corallivore_tot_abund,Coral_cov_by_OC_abun
PNG,3,Gavagava,2,2,28,70,1,1,16.5,5.5,1.5,3.5,0,1,11,1.037398288,0.149680797,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.389975,0.082965642,2,1,3,1,1,3,2,1,9.3,14
PNG,3,Gavagava,2,3,27,71.5,1,1.5,19.5,0.5,2,2,1.5,0.5,12,0.879298642,0.126869422,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.584962501,0.337194517,4,2,6,2,1,6,4,2,4.5,6.8
PNG,3,Gavagava,2,4,65,35,0,4.5,43.5,9.5,4.5,1.5,1.5,0,16,1.871766543,0.270067448,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.82458684,0.175427596,3,7,10,2,1,10,9,1,6.5,7.2
PNG,3,Gavagava,2,5,39.5,60.5,0,0,32.5,2,1,4,0,0,10,1.076254288,0.155287127,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,0,4,4,0,9.9,9.9
PNG,3,Hanging Gardens,3,1,31,69,0,9,13,2.5,4.5,2,0,0,15,1.182320418,0.170590856,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,2,2,0,15.5,15.5
PNG,3,Hanging Gardens,3,2,39.5,60.5,0,9.5,8,10.5,3,7,1.5,0,24,1.657779765,0.23919241,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,4,7,2,1,7,6,1,5.6,6.6
PNG,3,Hanging Gardens,3,3,44,55,1,8.5,9,20,1.5,4.5,0.5,0,17,1.774819568,0.256079473,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,4,1,1,4,3,1,11,14.7
PNG,3,Hanging Gardens,3,4,40.5,59,0.5,16,10.5,8.5,3.5,1,1,0,16,1.570196151,0.226555426,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0,0,2,5,7,1,3,7,2,5,5.8,20.3
PNG,3,Hanging Gardens,3,5,41.5,55,3.5,18,10,1,4.5,3.5,4.5,0,23,1.716895118,0.247721856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.389975,0.082965642,0,2,2,1,1,2,1,1,20.8,41.5
PNG,3,Lady Di,4,1,49.5,50.5,0,19,12.5,9.5,6,2.5,0,0,19,2.02620865,0.292351095,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,1.475435292,0.313893036,3,9,12,2,2,12,8,4,4.1,6.2
PNG,3,Lady Di,4,2,67.5,32.5,0,25.5,12,18.5,8,2,1.5,0,23,2.720224548,0.392487035,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0.764204507,0.162581493,3,14,17,2,1,17,15,2,4,4.5
PNG,3,Lady Di,4,3,45.5,54.5,0,12,12,8,11,1.5,1,0,24,1.924379277,0.277658665,0,8,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1.556656707,0.331172571,3,11,14,2,2,14,10,4,3.3,4.6
PNG,3,Lady Di,4,4,34.5,65,0.5,14.5,9,1,4,2.5,3.5,0,25,1.667860016,0.240646837,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.926176748,0.197040448,0,8,8,1,0,8,8,0,4.3,4.3
PNG,3,Lady Di,4,5,42,58,0,17.5,6,2,13.5,2,1,0,22,1.568589105,0.226323554,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,4,0.918295834,0.195363815,3,13,16,2,2,16,11,5,2.6,3.8
PNG,3,Limuka,5,1,26.5,73.5,0,1,15,4.5,2,3,1,0,22,1.024887484,0.147875678,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.389975,0.082965642,2,1,3,1,1,3,1,2,8.8,26.5
PNG,3,Limuka,5,2,14,86,0,1.5,6.5,2,1.5,2,0.5,0,15,0.459647714,0.066320175,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.918295834,0.195363815,6,0,6,0,2,6,0,6,2.3,NA
PNG,3,Limuka,5,3,25.5,74.5,0,4.5,13.5,1.5,3,2.5,0.5,0,21,0.938687396,0.135438316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,25.5,25.5
PNG,3,Limuka,5,4,27,73,0,3,14.5,3.5,1,2.5,2.5,0,16,1.054662968,0.152171828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
PNG,3,Limuka,5,5,34,66,0,0,23,4,3.5,2,1.5,0,12,1.072716229,0.154776639,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.389975,0.082965642,1,2,3,1,1,3,2,1,11.3,17
PNG,3,Lubaluba,6,1,32,62,0,14,3,1,10,1.5,2.5,6,17,1.19489905,0.172405762,0,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,11,2,1,11,9,2,2.9,3.6
PNG,3,Lubaluba,6,2,50,44.5,0,21.5,12,1,12.5,2,1,5.5,18,1.88193686,0.27153487,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0.97773279,0.208008793,6,8,14,1,2,14,8,6,3.6,6.3
PNG,3,Lubaluba,6,3,50,48,0,23.5,5.5,2.5,12.5,4,2,2,23,1.955930302,0.282210998,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.311278124,0.066223193,3,13,16,2,1,16,15,1,3.1,3.3
PNG,3,Lubaluba,6,4,44,53,0,19.5,6.5,1.5,13,1,2.5,3,20,1.565817839,0.225923702,0,9,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1.549161362,0.329577966,8,9,17,3,1,17,13,4,2.6,3.4
PNG,3,Lubaluba,6,5,64,35,0,42,5.5,2.5,11.5,2,0.5,1,18,1.920918785,0.277159369,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,4,7,11,1,1,11,7,4,5.8,9.1
PNG,3,Matane Walindi,7,1,18,81,1,2.5,13.5,0,0,1.5,0.5,0,7,0.73774124,0.106444842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.315258588,0.279816074,0,2,2,1,1,2,1,1,9,18
